fid,id,left,top,right,bottom,row_index,col_index,area_km2,fid_count,area_m2_sum,density,area_m2_mean,area_m2_max,area_m2_stddev,UMAP1,UMAP2,Cluster
87,489,739540.6993,2577188.0052,740540.6993,2576188.0052,8,16,0.999,537.0,113779.373,0.114,211.879652,3279.27,296.945747,10.740381,9.794197,3
88,490,739540.6993,2576188.0052,740540.6993,2575188.0052,9,16,0.999,383.0,105951.702,0.106,276.636298,2712.423,314.637732,10.345717,9.329529,3
89,491,739540.6993,2575188.0052,740540.6993,2574188.0052,10,16,0.999,251.0,81180.424,0.081,323.427984,3107.015,412.242067,9.190026,8.533603,5
90,492,739540.6993,2574188.0052,740540.6993,2573188.0052,11,16,0.999,,,0.0,,,,-16.634314,0.18248187,1
91,493,739540.6993,2573188.0052,740540.6993,2572188.0052,12,16,0.999,,,0.0,,,,-16.799856,0.36741996,1
92,494,739540.6993,2572188.0052,740540.6993,2571188.0052,13,16,0.999,2.0,65.527,0.0,32.7635,37.859,5.0955,6.2221074,16.62607,4
93,495,739540.6993,2571188.0052,740540.6993,2570188.0052,14,16,0.999,108.0,14734.115,0.015,136.426991,1496.934,211.11474,6.934962,11.585954,0
94,496,739540.6993,2570188.0052,740540.6993,2569188.0052,15,16,0.999,164.0,36896.391,0.037,224.977994,3275.214,441.311455,7.391348,10.123085,0
95,497,739540.6993,2569188.0052,740540.6993,2568188.0052,16,16,0.999,29.0,3643.424,0.004,125.63531,413.814,92.334951,6.343835,13.704203,4
96,498,739540.6993,2568188.0052,740540.6993,2567188.0052,17,16,0.999,321.0,56759.027,0.057,176.819399,6347.98,415.824807,9.48929,8.331594,5
97,499,739540.6993,2567188.0052,740540.6993,2566188.0052,18,16,0.999,767.0,119893.173,0.12,156.314437,1146.054,141.742898,11.092765,10.029835,3
98,500,739540.6993,2566188.0052,740540.6993,2565188.0052,19,16,0.208,44.0,4450.439,0.021,101.146341,290.189,59.523685,7.441849,13.968348,4
