id,left,top,right,bottom,row_index,col_index,area_km2,fid_count,fid_sum,id_count,area_m2_co,area_m2_su,DN_count,DN_sum,DN_mean,obf_pct,obf_n,bld_n,wsf_n,UMI,UMI_w
499,739540.699300000094809,2567188.005200000014156,740540.699300000094809,2566188.005200000014156,18,16,0.999,767,69467507.000000,767,767,119893.173000,195,36210.000000,185.692308,12.001,0.226,0.433,0.747,0.469,0.413
500,739540.699300000094809,2566188.005200000014156,740540.699300000094809,2565188.005200000014156,19,16,0.208,44,4136337.000000,44,44,4450.439000,9,2040.000000,226.666667,2.140,0.040,0.025,0.912,0.326,0.208
513,740540.699300000094809,2583188.005200000014156,741540.699300000094809,2582188.005200000014156,2,17,0.147,3,250851.000000,3,3,117.417000,1,0.000000,0.000000,0.080,0.002,0.002,0.000,0.001,0.002
514,740540.699300000094809,2582188.005200000014156,741540.699300000094809,2581188.005200000014156,3,17,0.956,26,2449345.000000,26,26,2103.276000,12,2805.000000,233.750000,0.220,0.004,0.015,0.940,0.320,0.196
515,740540.699300000094809,2581188.005200000014156,741540.699300000094809,2580188.005200000014156,4,17,0.999,32,2964510.000000,32,32,29284.930000,28,6375.000000,227.678571,2.931,0.055,0.018,0.916,0.330,0.212
516,740540.699300000094809,2580188.005200000014156,741540.699300000094809,2579188.005200000014156,5,17,0.999,601,54734410.000000,601,601,169161.797000,186,26520.000000,142.580645,16.933,0.319,0.339,0.573,0.410,0.378
517,740540.699300000094809,2579188.005200000014156,741540.699300000094809,2578188.005200000014156,6,17,0.999,330,30316195.000000,330,330,83096.268000,106,14025.000000,132.311321,8.318,0.156,0.186,0.532,0.291,0.243
518,740540.699300000094809,2578188.005200000014156,741540.699300000094809,2577188.005200000014156,7,17,0.999,250,23578652.000000,250,250,71310.395000,126,23460.000000,186.190476,7.138,0.134,0.141,0.749,0.341,0.260
519,740540.699300000094809,2577188.005200000014156,741540.699300000094809,2576188.005200000014156,8,17,0.999,591,56683308.000000,591,591,234353.242000,475,24225.000000,51.000000,23.459,0.441,0.334,0.205,0.327,0.351
520,740540.699300000094809,2576188.005200000014156,741540.699300000094809,2575188.005200000014156,9,17,0.999,186,17790930.000000,186,186,76571.973000,72,7905.000000,109.791667,7.665,0.144,0.105,0.442,0.230,0.188
521,740540.699300000094809,2575188.005200000014156,741540.699300000094809,2574188.005200000014156,10,17,0.999,,,,,,1,0.000000,0.000000,0.000,0.000,,0.000,,
522,740540.699300000094809,2574188.005200000014156,741540.699300000094809,2573188.005200000014156,11,17,0.999,,,,,,1,0.000000,0.000000,0.000,0.000,,0.000,,
523,740540.699300000094809,2573188.005200000014156,741540.699300000094809,2572188.005200000014156,12,17,0.999,,,,,,1,0.000000,0.000000,0.000,0.000,,0.000,,
524,740540.699300000094809,2572188.005200000014156,741540.699300000094809,2571188.005200000014156,13,17,0.999,5,417481.000000,5,5,180.595000,1,0.000000,0.000000,0.018,0.000,0.003,0.000,0.001,0.001
525,740540.699300000094809,2571188.005200000014156,741540.699300000094809,2570188.005200000014156,14,17,0.999,1,21250.000000,1,1,44.412000,1,0.000000,0.000000,0.004,0.000,0.001,0.000,0.000,0.000
526,740540.699300000094809,2570188.005200000014156,741540.699300000094809,2569188.005200000014156,15,17,0.999,254,22687771.000000,254,254,27726.836000,62,10710.000000,172.741935,2.775,0.052,0.143,0.695,0.297,0.217
527,740540.699300000094809,2569188.005200000014156,741540.699300000094809,2568188.005200000014156,16,17,0.999,104,9493561.000000,104,104,21034.525000,32,7140.000000,223.125000,2.106,0.040,0.059,0.897,0.332,0.219
